RegionID,SizeRank,RegionName,RegionType,StateName,3/31/18,4/30/18,5/31/18,6/30/18,7/31/18,8/31/18,9/30/18,10/31/18,11/30/18,12/31/18,1/31/19,2/28/19,3/31/19,4/30/19,5/31/19,6/30/19,7/31/19,8/31/19,9/30/19,10/31/19,11/30/19,12/31/19,1/31/20,2/29/20,3/31/20,4/30/20,5/31/20,6/30/20,7/31/20,8/31/20,9/30/20,10/31/20,11/30/20,12/31/20,1/31/21,2/28/21,3/31/21,4/30/21,5/31/21,6/30/21,7/31/21,8/31/21,9/30/21,10/31/21,11/30/21,12/31/21,1/31/22,2/28/22,3/31/22,4/30/22,5/31/22,6/30/22,7/31/22,8/31/22,9/30/22,10/31/22,11/30/22,12/31/22,1/31/23,2/28/23,3/31/23
394699,465,"Huntsville, TX",msa,TX,191975,191625,198108,201617,202400,199250,199250,199250,199333,199633,203533,207117,212150,213333,219817,224783,226367,224883,223250,223333,224633,224633,227633,227967,229600,230933,232633,239333,244900,248233,248067,253133,260927,266060,264243,264617,259650,266333,266167,273650,273483,276900,279400,278567,278783,275133,271967,262000,267333,276583,291583,296583,298333,299667,296333,298833,299167,306250,310417,312662,318579
394738,466,"Keene, NH",msa,NH,239750,237350,235700,235700,236600,236583,234950,236300,237667,239300,241050,243033,244733,245217,248233,249867,250967,249383,249083,249383,249600,249900,249600,249600,252933,258900,262233,265567,267267,271300,270833,276650,277650,274783,271600,271600,276633,275000,276633,284633,292933,299300,298633,296958,293625,287775,277733,274733,281167,301250,315250,325633,330600,331600,334967,330000,329150,340817,349150,358333,343300
394674,467,"Heber, UT",msa,UT,1212467,1119133,1019167,964667,949667,932833,914833,896500,909667,955500,998833,1034833,1042333,1017167,967833,922458,912958,916625,922667,931333,944667,975667,1026663,1112497,1125830,1075833,985000,928317,923483,928467,950317,955150,996833,1075000,1066667,1016667,941667,945000,945000,919667,916333,904333,909667,901000,920333,948667,1040667,1125000,1219167,1227500,1220500,1185167,1151833,1124500,1099000,1107333,1140667,1174000,1190667,1190000,1189667
395010,468,"Quincy, IL",msa,IL,127933,129633,132667,135833,139000,138500,138666,139000,139500,138667,136733,133717,132783,132867,134383,136150,138133,139300,139267,142600,145267,147783,146133,144967,144783,146283,148367,151067,151217,149133,144100,141633,139100,135550,130383,128750,128300,131133,133467,136333,135500,131500,129317,128283,128917,130567,133600,134600,137967,144933,151600,154917,153267,154133,159150,160800,159633,146300,139483,136483,149817
395062,469,"Sandusky, OH",msa,OH,168233,174933,179867,183900,186700,188433,189100,189217,185883,182033,179083,177417,176417,176417,181417,189900,196267,199600,199600,201267,201967,201967,200600,194933,201633,208300,219783,219767,218133,221617,219467,214133,200500,194567,193383,208717,216783,226600,220433,211267,199600,199067,201567,201600,193300,195833,205800,207967,210467,209833,217567,219233,219650,212983,215983,206200,205967,196267,197117,197450,205817
394593,470,"Findlay, OH",msa,OH,178683,182417,189083,189900,185433,180450,176483,179050,182233,186050,183950,182117,180267,185950,197583,199583,197750,182933,181267,176417,182017,180350,179350,178017,181350,193617,198667,206033,209467,210300,206267,196567,192933,186267,184600,187833,193067,202233,207667,209100,204933,199900,198750,195417,195117,190300,191817,188300,190933,202183,210183,215183,208100,205117,205150,202800,206600,207933,207933,202933,197400
394614,471,"Frankfort, KY",msa,KY,162050,163617,168575,175675,184608,189633,192967,187933,184600,179900,179933,181633,183333,188000,192967,194600,189933,184374,181041,184342,188767,194767,193133,192633,198333,208333,218333,222150,222150,217117,213300,204933,198117,187283,183950,185783,191283,197950,200467,200700,204067,203200,206600,206567,205433,202117,198817,200817,208500,225167,239333,244967,244967,251633,260000,266650,264967,260800,257150,263729,271896
394516,472,"Danville, IL",msa,IL,73767,75933,79517,83000,83200,81615,79980,80313,81965,81933,81567,79900,83000,85825,87358,87292,87250,88383,87383,87133,86167,85833,86333,87417,88500,89833,93717,99300,100966,99233,94200,91500,89933,89967,90833,90250,92333,93083,94400,97483,99200,101767,99600,99633,99650,99650,95483,90833,92083,97750,110750,116167,118817,112483,106950,100717,98683,104517,106567,108267,105783
394298,473,"Aberdeen, WA",msa,WA,209100,213267,214950,216625,218292,221608,224783,227933,227967,229717,228233,228233,228167,232833,239167,241000,244333,243000,245833,244467,247467,247633,248333,249950,254950,260950,264667,268300,269717,271217,267917,266500,266633,269217,272550,279225,284942,293275,303275,314958,327958,334317,342333,345667,352500,352833,353167,353000,361333,367150,370417,368417,367567,367633,364600,362933,356417,353117,352567,352750,359083
394999,474,"Portsmouth, OH",msa,OH,110000,111417,116400,121367,121283,121267,117967,115633,113167,109833,108167,108967,112300,115633,118800,122133,124800,125000,125000,124983,122983,119650,116333,116500,119467,122800,125967,126333,126333,125967,127300,129617,131983,131983,131333,132983,137150,143783,143767,144900,141567,143233,143233,144900,145933,147600,149267,148267,144933,148267,150600,157300,154000,154666,154633,156267,156583,153250,151617,149933,150717
