Month,ZipCode,MeanValue
2000-05-31,78727,194312.3605
2000-05-31,78746,540157.5171
2000-05-31,78705,212070.3853
2000-05-31,78738,355307.7061
2000-05-31,78724,102601.4033
2000-05-31,78728,195686.6566
2000-05-31,78617,136455.2435
2000-05-31,78731,384681.947
2000-05-31,78757,230588.7835
2000-05-31,78752,125838.1696
2000-05-31,78703,475414.6418
2000-05-31,78734,268204.6553
2000-05-31,78739,370780.2887
2000-05-31,78735,364264.7734
2000-05-31,78747,191993.7388
2000-05-31,78732,399676.9908
2000-05-31,78645,177773.3759
2000-05-31,78726,309349.1507
2000-05-31,78730,475421.8308
2000-05-31,78733,422003.8058
2000-05-31,78721,116067.1033
2000-05-31,78756,286875.4128
2000-05-31,78736,199231.7725
2000-05-31,78652,193715.0989
2000-05-31,78669,240906.7556
2000-05-31,78725,107910.8837
2000-05-31,78719,122554.5674
2000-06-30,78660,183615.2314
2000-06-30,78745,152738.0749
2000-06-30,78753,133924.6223
2000-06-30,78704,220399.1341
2000-06-30,78758,137171.7775
2000-06-30,78748,188582.7868
2000-06-30,78744,105147.5514
2000-06-30,78741,133955.675
2000-06-30,78759,294885.4234
2000-06-30,78653,157906.7211
2000-06-30,78723,146241.8069
2000-06-30,78749,278920.0143
2000-06-30,78750,269930.947
2000-06-30,78754,172741.019
2000-06-30,78727,193612.038
2000-06-30,78746,546188.2677
2000-06-30,78705,211632.992
2000-06-30,78738,355852.9689
2000-06-30,78724,102568.6855
2000-06-30,78728,196283.8144
2000-06-30,78617,137399.973
2000-06-30,78731,386577.2079
2000-06-30,78757,229238.3071
2000-06-30,78752,126855.9925
2000-06-30,78703,484834.8764
2000-06-30,78734,270088.2563
2000-06-30,78739,370380.9196
2000-06-30,78735,365652.7424
2000-06-30,78747,192756.5737
2000-06-30,78732,399058.3364
2000-06-30,78645,178077.1422
2000-06-30,78726,308309.2263
2000-06-30,78730,477689.5952
2000-06-30,78733,422336.5723
2000-06-30,78721,119294.8226
2000-06-30,78756,287213.3111
2000-06-30,78736,200195.8203
2000-06-30,78652,195044.9025
2000-06-30,78669,242259.5062
2000-06-30,78725,108580.3977
2000-06-30,78719,123188.9758
2000-07-31,78660,183697.6099
2000-07-31,78745,151988.7937
2000-07-31,78753,134211.2268
2000-07-31,78704,224512.5779
2000-07-31,78758,137062.6098
2000-07-31,78748,188917.1192
2000-07-31,78744,105206.5726
2000-07-31,78741,133632.9681
2000-07-31,78759,295039.5151
2000-07-31,78653,156339.6909
2000-07-31,78723,146369.6445
2000-07-31,78749,279609.1282
2000-07-31,78750,269728.5442
2000-07-31,78754,173148.5942
2000-07-31,78727,192873.4719
2000-07-31,78746,545795.3614
2000-07-31,78705,211178.4809
2000-07-31,78738,355576.6747
2000-07-31,78724,102729.386
2000-07-31,78728,196625.3915
2000-07-31,78617,138480.3225
2000-07-31,78731,387310.3627
2000-07-31,78757,233169.2479
2000-07-31,78752,128125.9589
2000-07-31,78703,489492.4136
2000-07-31,78734,270483.086
2000-07-31,78739,369516.2361
2000-07-31,78735,365347.5987
2000-07-31,78747,193281.4708
2000-07-31,78732,397927.6155
2000-07-31,78645,178301.7703
2000-07-31,78726,307374.1152
2000-07-31,78730,479189.8884
2000-07-31,78733,421299.7757
2000-07-31,78721,120996.5417
2000-07-31,78756,286923.9107
2000-07-31,78736,202636.9784
2000-07-31,78652,194852.4168
2000-07-31,78669,242673.8845
2000-07-31,78725,108745.1019
2000-07-31,78719,123973.0308
2000-08-31,78660,183883.1281
2000-08-31,78745,152476.0395
2000-08-31,78753,134670.4826
2000-08-31,78704,228388.2701
2000-08-31,78758,137044.9775
2000-08-31,78748,189368.5679
2000-08-31,78744,105324.7356
2000-08-31,78741,134339.8395
2000-08-31,78759,295855.1217
2000-08-31,78653,154297.8871
2000-08-31,78723,146447.5304
2000-08-31,78749,280908.4018
2000-08-31,78750,270258.0742
2000-08-31,78754,173482.1072
2000-08-31,78727,193139.976
2000-08-31,78746,543902.2381
2000-08-31,78705,212635.0382
2000-08-31,78738,356039.7277
2000-08-31,78724,103329.1304
2000-08-31,78728,197192.5662
2000-08-31,78617,140586.6758
2000-08-31,78731,388542.3203
2000-08-31,78757,238886.0427
2000-08-31,78752,129837.4896
2000-08-31,78703,490676.9769
2000-08-31,78734,270264.1756
2000-08-31,78739,369109.1454
2000-08-31,78735,365000.1199
2000-08-31,78747,193922.2233
2000-08-31,78732,399671.3771
2000-08-31,78645,178507.5834
2000-08-31,78726,307236.2535
2000-08-31,78730,481758.3872
2000-08-31,78733,421388.0872
2000-08-31,78721,122221.3212
2000-08-31,78756,286600.6627
2000-08-31,78736,206293.7657
2000-08-31,78652,194749.6672
2000-08-31,78669,241319.4641
2000-08-31,78725,108878.2049
2000-08-31,78719,127182.9697
2000-09-30,78660,184065.4057
2000-09-30,78745,153136.0647
2000-09-30,78753,135162.8537
2000-09-30,78704,231042.7183
2000-09-30,78758,137306.1293
2000-09-30,78748,189449.4954
2000-09-30,78744,105763.9659
2000-09-30,78741,134983.9971
2000-09-30,78759,297005.7387
2000-09-30,78653,151858.0258
2000-09-30,78723,147006.1092
2000-09-30,78749,281436.5307
2000-09-30,78750,270724.3903
2000-09-30,78754,173573.6708
2000-09-30,78727,194712.835
2000-09-30,78746,541967.3725
2000-09-30,78705,216212.7623
2000-09-30,78738,356222.6495
2000-09-30,78724,103906.4539
2000-09-30,78728,197803.9101
2000-09-30,78617,142123.7094
2000-09-30,78731,390741.7165
2000-09-30,78757,245393.5183
2000-09-30,78752,131097.0701
2000-09-30,78703,490693.8032
2000-09-30,78734,269763.0112
2000-09-30,78739,369175.189
2000-09-30,78735,363897.3772
2000-09-30,78747,194501.2955
2000-09-30,78732,402891.6802
2000-09-30,78645,178339.5039
2000-09-30,78726,307356.7491
2000-09-30,78730,484263.5272
2000-09-30,78733,420550.0552
2000-09-30,78721,123791.6028
2000-09-30,78701,336961.2954
2000-09-30,78756,285504.1424
2000-09-30,78736,207962.0046
2000-09-30,78652,194427.199
2000-09-30,78669,239708.8931
2000-09-30,78725,108913.8864
2000-09-30,78719,130150.5616
2000-10-31,78660,184649.6164
2000-10-31,78745,154246.8166
